Equipo,Start Time,Week,Sistema,System_google_translated,Estado/C¢digo,C¢digo de tipo,End Time,Duration (min),Duration (hrs),Work Type,Comentario,Commentary_google_translated,Locaton
TK408,01-01-16 22:23,Week-01,LUBRICACION,LUBRICATION,LU-1405  LUBRICACION-SISTEMA DE LUBRICACION,C¢digo Secundario,01-01-16 23:56,93.17,1.6,No programado,COMPLETAR NIVEL DE SISTEMA DE ENGRASE ,COMPLETE GROUND SYSTEM LEVEL,COMBUSTIBLE TALLER
TK408,01-02-16 0:07,Week-01,FRENOS,BRAKES,BK-315  FRENOS-SERVICIO,C¢digo Secundario,01-02-16 0:51,43.88,0.7,No programado,FUGA DE ACEITE EN PAQUETE DE FRENOS DELANTERO LADO IZQUIERDO,OIL LEAKAGE IN FRONT BRAKE PACK LEFT SIDE,COMBUSTIBLE TALLER
TK403,01-02-16 8:37,Week-01,MOTOR,MOTOR,EN-1015  MOTOR-MOTOR COMPLETO,C¢digo Secundario,01-02-16 9:19,42.07,0.7,No programado,"PERDIDA DE POTENCIA DE MOTOR, EVALUAR ","ENGINE POWER LOSS, EVALUATE",ENTRADA DE COMBUSTIBLE
TK434,01-02-16 3:46,Week-01,SERVICIOS,SERVICES,SR-1730  SERVICIOS-LAVADO,C¢digo Secundario,01-02-16 10:19,393.27,6.6,Programado,LAVADO PARA PM 4000 HRS,WASH FOR PM 4000 HRS,QQ-01
TK434,01-02-16 10:19,Week-01,SERVICIOS,SERVICES,SR-1705  SERVICIOS-MANTENIMIENTO PROGRAMADO,C¢digo Secundario,01-03-16 1:23,904.02,15.1,Programado,PM 4000 HRS + REPARACI?N DE ESCALERA DE ACCESO LADO DERECHO,PM 4000 HRS + RIGHT SIDE ACCESS STAIR REPAIR,QQ-01
TK408,01-03-16 2:07,Week-01,IMPLEMENTOS,IMPLEMENTS,IM-1350  IMPLEMENTOS-TOLVA/CAMA,C¢digo Secundario,01-03-16 2:17,9.72,0.2,No programado,TOLVA NO SUBE,HOPPER DOES NOT UP,S-LG3A/380
TK403,01-02-16 19:42,Week-01,HIDRAULICO,HYDRAULIC,HY-1245  HIDRAULICO-BOMBAS,C¢digo Secundario,01-03-16 3:40,477.9,8,No programado,SE CORRIGIO FUGA DE ACEITE HIDRAULICO POR BOMBA DE LUBRICACI?N ,HYDRAULIC OIL LEAKAGE CORRECTS BY LUBRICATING PUMP,ENTRADA DE COMBUSTIBLE
TK434,01-03-16 1:23,Week-01,ELECTRICO 12/24 VOLTS,ELECTRIC 12/24 VOLTS,EL-810  ELECTRICO 12/24 VOLTS-BATERIA,C¢digo Secundario,01-03-16 3:58,154.15,2.6,No programado,FALLA EN GENERACI?N PARA CARGAR LA BATER?A,GENERATION FAILED TO CHARGE THE BATTERY,QQ-01
TK434,01-03-16 3:58,Week-01,HIDRAULICO,HYDRAULIC,HY-1250  HIDRAULICO-TANQUE,C¢digo Secundario,01-03-16 9:00,302.18,5,No programado,INSPECCIONAR FUGA POR FILTRO DEL CONVERTIDOR + INSPECCI?N DE PRE ENTREGA +  COMPLETAR NIVEL DE HIDRAULICO + ACEITE DE TRANSMISION ,INSPECT LEAKAGE BY CONVERTER FILTER + PRE-DELIVERY INSPECTION + COMPLETE HYDRAULIC LEVEL + TRANSMISSION OIL,QQ-01
TK408,01-03-16 5:54,Week-01,AIRE,AIR,AR-210  AIRE-MANGUERAS/TUBERIAS,C¢digo Secundario,01-03-16 10:12,257.73,4.3,No programado,CAMBIO DE 2 TORNILLOS DEL MOTOR DE ARRANQUE ,CHANGE OF 2 STARTER MOTOR SCREWS,HR6-VIA2
