Work Order,Description,Description Google Translate,Asset Group,Asset Number,Asset Description,Create Date,Scheduled Start Date,Priority,Status,Owning Department,Work Order Type,Activity,Wip Accounting Class,Month, Actual Equipment Cost ,Labour Cost Group,Material Cost Group,Total Cost Group
3003419,CORREGIR FALLA BAJA POTENCIA DEL MOTOR.,CORRECTION FAILS LOW ENGINE POWER.,CAT789CENG,403,ENGINE HAULTRUCK CATERPILLAR 789C 403,01-02-16 13:38,01-02-16 13:37,0 - Immediate,Closed,MM3,CM - Corrective,,18601401,2016-JAN, $-   ,6,0,6
3003486,CORREGIR FUGA POR TUBERIA DE SUCCION DE LA BOMBA DE DIRECCION.,CORRECTION LEAK PUMP FOR SUCTION PIPE OF STEERING PUMP.,CAT789CHYS,403,STEERING SYSTEM HYDRAULIC SYSTEM HAULTRUCK CATERPILLAR 789C 403,01-02-16 17:10,01-02-16 17:09,1 - Due less than 7 days,Closed,MM3,CM - Corrective,,18601401,2016-JAN, $-   ,12,1,12
3003551,CORREGIR FALLA DE ENCENDIDO.,CORRECTING IGNITION FAILURE.,CAT789DENG,434,STARTER ENGINE HAULTRUCK CATERPILLAR 789D 434,01-02-16 22:56,01-02-16 22:56,1 - Due less than 7 days,Closed,MM3,CM - Corrective,,18601401,2016-JAN, $-   ,6,17,18
3003822,CAMBIAR TUBERIA DE SECCION DE LA BOMBA DE STEERING.,CHANGE STEERING PUMP SECTION PIPE.,CAT789CHYS,403,STEERING SYSTEM HYDRAULIC SYSTEM HAULTRUCK CATERPILLAR 789C 403,01-03-16 6:25,01-03-16 6:21,3 - Due less than 30 days,Closed,MM3,CM - Corrective,,18601401,2016-JAN, $-   ,0,0,0
3003987,INSTALAR TORNILLO AL MOTOR DE ARRANQUE.,INSTALL SCREW TO START ENGINE.,CAT789CENG,408,STARTER ENGINE HAULTRUCK CATERPILLAR 789C 408,01-03-16 13:02,01-03-16 13:01,0 - Immediate,Closed,MM3,CM - Corrective,,18601401,2016-JAN, $-   ,6,0,6
3005124,Reemplazar manguera inferior de enfriamiento delantero derecho.,Replace lower right front cooling hose.,CAT789DHYS,434,HYDRAULIC SYSTEM HAULTRUCK CATERPILLAR 789D 434,01-04-16 10:38,4/19/2016 15:13,2 - Due less than 14 days,Closed,MM3,CM - Corrective,,18601401,2016-APR, $-   ,3,6,9
3006514,cambiar enfriamiento,Change cooling,CAT789DDTS,434,BRAKE PARK DRIVETRAIN SYSTEM HAULTRUCK CATERPILLAR 789D 434,01-05-16 7:42,01-05-16 7:32,1 - Due less than 7 days,Closed,MM3,CM - Corrective,,18601401,2016-JAN, $-   ,11,18,19
3007241,CARGAR SISTEMA DE COMBUSTIBLE,LOADING FUEL SYSTEM,CAT789CENG,408,ENGINE HAULTRUCK CATERPILLAR 789C 408,01-05-16 11:31,01-05-16 11:29,1 - Due less than 7 days,Closed,MM3,CM - Corrective,,18601401,2016-JAN, $-   ,12,0,12
3008230,REEMPLAZAR CARDAN DEL PTO,REPLACE CARDAN OF THE PTO,CAT789D,434,HAULTRUCK CATERPILLAR 789D 434,01-05-16 22:42,01-05-16 22:39,1 - Due less than 7 days,Closed,MM3,CM - Corrective,,18601401,2016-JAN, $-   ,11,1,11
3009017,montaje de soporte de cable de seguridad en la parte posterior de la tolva,Mounting safety cable support on the back of the hopper,CAT789CIMP,403,BED IMPLEMENTS SYSTEM HAULTRUCK CATERPILLAR 789C 403,01-06-16 5:04,02-09-16 15:51,3 - Due less than 30 days,Closed,MM3,PM - Preventative,,18601401,2016-JAN, $-   ,0,0,0
3009024,montaje de soporte de cable de seguridad en la parte posterior de la tolva,Mounting safety cable support on the back of the hopper,CAT789CIMP,408,BED IMPLEMENTS SYSTEM HAULTRUCK CATERPILLAR 789C 408,01-06-16 5:08,02-11-16 8:00,3 - Due less than 30 days,Closed,MM3,PM - Preventative,,18601401,2016-JAN, $-   ,0,0,0
3009039,montaje de soporte de cable de seguridad en la parte posterior de la tolva,Mounting safety cable support on the back of the hopper,CAT789DIMP,422,BED IMPLEMENTS SYSTEM HAULTRUCK CATERPILLAR 789D 422,01-06-16 5:15,02-03-16 8:00,3 - Due less than 30 days,Closed,MM3,PM - Preventative,,18601401,2016-JAN, $-   ,0,0,0
3009101,"Inspeccionar sistema de c†maras, reportan que no enciende.(DISPACH).","Inspect camera system, report that it does not turn on (DISPACH).",CAT789CELS,403,ELECTRICAL SYSTEM HAULTRUCK CATERPILLAR 789C 403,01-06-16 6:39,1/15/2016 13:00,2 - Due less than 14 days,Closed,MM3,PM - Preventative,,18601401,2016-JAN, $-   ,11,0,11
