KeyMineProject,Property Name,Primary Commodity,Commodity Group,List of Owners,List of Royalty Holders,Development Stage,Activity Status,Latitude (degrees),Longitude (degrees),Coordinate Accuracy
24429,Nolan Creek,Gold,Precious Metals,Silverado Gold Mines Limited (Owner) 100%,NA,Reserves Development,Inactive,67.473840,-150.220360,Exact
24430,Thompson Pup,Gold,Precious Metals,Silverado Gold Mines Limited (Owner) 100%,NA,Exploration,Inactive,67.476502,-150.220212,Exact
24431,Bear Creek,Gold,Precious Metals,NA,NA,Closed,Inactive,66.189440,-155.714720,Exact
24433,Golden Summit,Gold,Precious Metals,Freegold Ventures Limited (Owner) 100%,Fairbanks Exploration Co (NSR); Unnamed Owner (NSR),Prefeas/Scoping,Active,65.064000,-147.436000,Exact
24434,Livengood,Gold,Precious Metals,International Tower Hill Mines Ltd. (Owner) 100%,Unnamed Owner (NSR),Prefeas/Scoping,Active,65.507000,-148.531000,Exact
24435,Frying Pan Creek,Gold,Precious Metals,NA,NA,Target Outline,Inactive,65.299440,-145.559170,Exact
24436,Nome Gold,Gold,Precious Metals,Nome Gold Alaska Corp. (Owner) 100%,NA,Reserves Development,Inactive,64.540160,-165.374480,Exact
24437,Anvil,Gold,Precious Metals,Exeter Resource Corporation (Venturer) 50%; Nome Gold Joint Venture (Venturer) 50%,Novagold Resources Inc. (NSR) 7.5%; Placer Dome Inc (Barrick Gold) (Royalty) 7.5%,Reserves Development,Inactive,64.613890,-165.415830,Exact
24438,Big Hurrah,Gold,Precious Metals,Bering Straits Native Corporation (Owner) 100%,Novagold Resources Inc. (NPI) 10%; Cornwall Pacific Alaska (NSR) 3%,Reserves Development,Inactive,64.675745,-164.250517,Exact
24439,Ruby District,Gold,Precious Metals,Malvy Technology Inc (Owner) 100%,NA,Target Outline,Inactive,64.319480,-155.532360,Exact
24440,Norris,Gold,Precious Metals,Individual (Owner),NA,Exploration,Inactive,64.828890,-148.125000,Exact
24441,Slide,Gold,Precious Metals,Getty Minerals (Owner) 100%,NA,Exploration,Inactive,61.249300,-146.319760,Approximate
24444,Cliff,Gold,Precious Metals,Whetstone Minerals Ltd. (Owner) 100%,NA,Target Outline,Inactive,61.122500,-146.563610,Exact
24447,Yakataga Beach,Gold,Precious Metals,Yakataga Gold (Owner) 100%,NA,Closed,Inactive,60.083330,-142.437500,Exact
24449,Berners Bay,Gold,Precious Metals,Hyak Mining Co (Owner),NA,Exploration,Inactive,58.746110,-134.925830,Exact
24450,Kensington,Gold,Precious Metals,"Coeur Mining, Inc. (Owner) 100%",Hyak Mining Co (Royalty),Operating,Active,58.869940,-135.095810,Exact
24451,Alaska Juneau,Gold,Precious Metals,NA,"Barrick Gold Corporation (NPI) 10%; Alaska Light and Power Co (NSR) 2.5%; City of Juneau (NSR) 2.5%; Watts, Griffis and McOuat Limited (NSR) 1.5%",Closed,Inactive,58.307780,-134.344440,Exact
24455,Cook Group,Gold,Precious Metals,NA,NA,Exploration,Inactive,57.958060,-133.631110,Exact
24460,Dawson,Gold,Precious Metals,Discovery Gold Explorations Ltd (Optionee); Individual (Optionor),NA,Target Outline,Inactive,55.497500,-132.698610,Exact
24465,Commonwealth,Gold,Precious Metals,Marlin Gold Mining Ltd. (Optionee) 98%; Private Interest (Optionor) 2%,Carl Thetford Family Trust (NSR); Private Interest (NSR),Prefeas/Scoping,Active,31.900560,-109.813890,Exact
24466,Golden Rule,Gold,Precious Metals,Cochise Resources Inc (Owner) 100%,NA,Reserves Development,Inactive,32.030690,-109.969270,Exact
24477,Black Diamond Mines,Gold,Precious Metals,NA,NA,NA,Inactive,31.844100,-109.930660,Exact
24478,Big Horn,Gold,Precious Metals,Can Ex Resources Ltd (Optionee) 100%; Claim Owners (Optionor),NA,Target Outline,Inactive,33.743610,-113.190280,Exact
24479,Newsboy,Gold,Precious Metals,Southwest Exploration Inc. (Owner) 100%,Unnamed Owner (NSR) 2%,Reserves Development,Active,33.847500,-112.666670,Exact
24480,Phoenix,Gold,Precious Metals,Consolidated Keld'Or Resources Inc (Venturer); Lectus Developments Ltd (Venturer),NA,Feasibility,Inactive,33.883890,-111.951670,Exact
24481,Pump,Gold,Precious Metals,Can Ex Resources Ltd (Optionee) 100%; Claim Owners (Optionor),NA,Target Outline,Inactive,33.738330,-113.135280,Exact
24483,Adams,Gold,Precious Metals,Duke Minerals Inc (Optionee) 50%; E A Mcvicar (Optionor) 50%,NA,Exploration,Inactive,35.252270,-114.521360,Exact
24484,Gold Dome,Gold,Precious Metals,Frisco Land And Mining Co (Owner) 100%,NA,Target Outline,Inactive,35.211670,-114.415830,Exact
24485,Midnight,Gold,Precious Metals,Azkan Technologies (Owner) 100%,NA,Target Outline,Inactive,35.039720,-114.422780,Exact
24486,Roadside,Gold,Precious Metals,Granges Exploration Ltd (Owner) 100%,NA,Exploration,Inactive,35.219170,-114.483060,Exact
24487,Secret Pass,Gold,Precious Metals,"Arrowstar Resources Limited (Optionee) 100%; NJB Mining, Inc. (Optionor); Performance Acquisitions LLC (Optionor)",International Prospectors Corp (NPI) 10%,Target Outline,Active,35.150560,-114.369720,Exact
24488,Tyro,Gold,Precious Metals,Etruscan Resources Cote d'Ivoire SARL (Optionor) 100%; Individual (Optionee),NA,Target Outline,Inactive,35.226940,-114.450830,Exact
24489,Oatman,Gold,Precious Metals,Mesa Exploration Corporation (Owner) 100%,Kerr Mines Inc. (NSR) 3%,Target Outline,Inactive,35.037780,-114.393060,Exact
24490,Burro Creek,Gold,Precious Metals,Coelton Ventures Ltd. (Owner) 100%,Private Interest (NSR) 3%,Reserves Development,Active,34.559440,-113.493890,Exact
24491,Cod,Gold,Precious Metals,"Noble Consolidated Industries Corp. (Venturer) 80%; El Capitan Precious Metals, Inc. (Venturer) 20%",NA,Target Outline,Inactive,35.344170,-114.104440,Exact
24493,American Flag,Gold,Precious Metals,NA,NA,Exploration,Inactive,35.076940,-113.880830,Exact
24498,Jupiter,Gold,Precious Metals,NA,NA,Exploration,Inactive,34.535560,-114.169440,Exact
24501,Pilgrim,Gold,Precious Metals,Mohave Gold Inc (Owner) 100%,NA,Reserves Development,Inactive,35.388330,-114.358890,Exact
24502,Portland,Gold,Precious Metals,Western States Minerals Corp (Owner) 90%,Individual (NPI) 10%,Closed,Inactive,35.380830,-114.501110,Exact
24511,Tiger Tailings,Gold,Precious Metals,McFarland and Hullinger (Owner),NA,NA,Inactive,32.705830,-110.684170,Exact
24515,Goldfield,Gold,Precious Metals,Apache Mining and Development (Owner),NA,Feasibility,Inactive,33.462580,-111.510710,Exact
24517,Oro Blanco,Gold,Precious Metals,Arizona Western Mines Inc (Owner),NA,Reserves Development,Inactive,31.420000,-111.252500,Exact
24520,Beehive,Gold,Precious Metals,Cruiser Minerals Ltd (Venturer) 52%; International Gold and Minerals Ltd (Venturer) 48%,NA,Target Outline,Inactive,34.158510,-112.681710,Exact
24521,Bullard,Gold,Precious Metals,Biomax Technologies Inc (Owner); Brunyan Resources (Owner); Goldstake Explorations Inc. (Owner); Individual (Owner); Key Mineral Inc (Owner),NA,Feasibility,Inactive,34.065850,-113.273860,Exact
24522,Congress,Gold,Precious Metals,Republic Goldfields Inc. (Owner) 100%,Magic Circle Energy Corp (NPI) 10%,Target Outline,Inactive,34.200880,-112.850470,Exact
24523,George Washington,Gold,Precious Metals,NA,NA,Closed,Inactive,34.084170,-112.605000,Exact
24524,Glory Anna,Gold,Precious Metals,NA,NA,Exploration,Inactive,34.153890,-112.157220,Exact
24525,Oro Grande,Gold,Precious Metals,Bourque Industries Inc (Optionee) 100%; Private Interest (Optionor),NA,Target Outline,Inactive,34.027500,-112.723330,Exact
24526,Postmaster,Gold,Precious Metals,Blackberry Gold Resources Inc (Optionee); Mergerex Inc (Optionor),NA,Exploration,Inactive,34.455000,-112.342500,Exact
24527,Montezuma Huron,Gold,Precious Metals,Individual (Owner),NA,Target Outline,Inactive,34.460050,-112.262280,Exact
24528,Upton #3,Gold,Precious Metals,NA,NA,Target Outline,Inactive,34.165280,-112.728890,Exact
24529,Lynx Creek Mine,Gold,Precious Metals,Lynx Corp (Owner),NA,Closed,Inactive,34.576750,-112.319040,Exact
24530,Rattler,Gold,Precious Metals,NA,NA,Exploration,Inactive,34.054440,-112.583330,Exact
24532,Doland,Gold,Precious Metals,Individual (Owner) 100%,NA,Exploration,Inactive,33.885560,-113.632500,Exact
24533,King of Arizona,Gold,Precious Metals,NA,NA,Closed,Inactive,33.270370,-113.965180,Exact
24534,McPhaul,Gold,Precious Metals,NA,NA,Feasibility,Inactive,32.773960,-114.417180,Exact
