MineID	MineName	Owners	Development Stage	Activity Status	Lat	Lon
24429	Nolan Creek	Silverado Gold Mines Limited (Owner) 100%	Reserves Development	Inactive	67.473840	-150.220360
24430	Thompson Pup	Silverado Gold Mines Limited (Owner) 100%	Exploration	Inactive	67.476502	-150.220212
24431	Bear Creek	NA	Closed	Inactive	66.189440	-155.714720
24433	Golden Summit	Freegold Ventures Limited (Owner) 100%	Prefeas/Scoping	Active	65.064000	-147.436000
24434	Livengood	International Tower Hill Mines Ltd. (Owner) 100%	Prefeas/Scoping	Active	65.507000	-148.531000
24435	Frying Pan Creek	NA	Target Outline	Inactive	65.299440	-145.559170
24436	Nome Gold	Nome Gold Alaska Corp. (Owner) 100%	Reserves Development	Inactive	64.540160	-165.374480
24437	Anvil	Exeter Resource Corporation (Venturer) 50%; Nome Gold Joint Venture (Venturer) 50%	Reserves Development	Inactive	64.613890	-165.415830
24438	Big Hurrah	Bering Straits Native Corporation (Owner) 100%	Reserves Development	Inactive	64.675745	-164.250517
24439	Ruby District	Malvy Technology Inc (Owner) 100%	Target Outline	Inactive	64.319480	-155.532360
24440	Norris	Individual (Owner)	Exploration	Inactive	64.828890	-148.125000
24441	Slide	Getty Minerals (Owner) 100%	Exploration	Inactive	61.249300	-146.319760
24444	Cliff	Whetstone Minerals Ltd. (Owner) 100%	Target Outline	Inactive	61.122500	-146.563610
24447	Yakataga Beach	Yakataga Gold (Owner) 100%	Closed	Inactive	60.083330	-142.437500
24449	Berners Bay	Hyak Mining Co (Owner)	Exploration	Inactive	58.746110	-134.925830
24450	Kensington	"Coeur Mining, Inc. (Owner) 100%"	Operating	Active	58.869940	-135.095810
24451	Alaska Juneau	NA	Closed	Inactive	58.307780	-134.344440
24455	Cook Group	NA	Exploration	Inactive	57.958060	-133.631110
24460	Dawson	Discovery Gold Explorations Ltd (Optionee); Individual (Optionor)	Target Outline	Inactive	55.497500	-132.698610
24465	Commonwealth	Marlin Gold Mining Ltd. (Optionee) 98%; Private Interest (Optionor) 2%	Prefeas/Scoping	Active	31.900560	-109.813890
24466	Golden Rule	Cochise Resources Inc (Owner) 100%	Reserves Development	Inactive	32.030690	-109.969270
