MineID	MineName	Development Stage	Activity Status	Lat	Lon
24429	Nolan Creek	Reserves Development	Inactive	67.473840	-150.220360
24430	Thompson Pup	Exploration	Inactive	67.476502	-150.220212
24431	Bear Creek	Closed	Inactive	66.189440	-155.714720
24433	Golden Summit	Prefeas/Scoping	Active	65.064000	-147.436000
24434	Livengood	Prefeas/Scoping	Active	65.507000	-148.531000
24435	Frying Pan Creek	Target Outline	Inactive	65.299440	-145.559170
24436	Nome Gold	Reserves Development	Inactive	64.540160	-165.374480
24437	Anvil	Reserves Development	Inactive	64.613890	-165.415830
24438	Big Hurrah	Reserves Development	Inactive	64.675745	-164.250517
24439	Ruby District	Target Outline	Inactive	64.319480	-155.532360
24440	Norris	Exploration	Inactive	64.828890	-148.125000
24441	Slide	Exploration	Inactive	61.249300	-146.319760
24444	Cliff	Target Outline	Inactive	61.122500	-146.563610
24447	Yakataga Beach	Closed	Inactive	60.083330	-142.437500
24449	Berners Bay	Exploration	Inactive	58.746110	-134.925830
24450	Kensington	Operating	Active	58.869940	-135.095810
24451	Alaska Juneau	Closed	Inactive	58.307780	-134.344440
24455	Cook Group	Exploration	Inactive	57.958060	-133.631110
24460	Dawson	Target Outline	Inactive	55.497500	-132.698610
24465	Commonwealth	Prefeas/Scoping	Active	31.900560	-109.813890
24466	Golden Rule	Reserves Development	Inactive	32.030690	-109.969270
24477	Black Diamond Mines	NA	Inactive	31.844100	-109.930660
24478	Big Horn	Target Outline	Inactive	33.743610	-113.190280
24479	Newsboy	Reserves Development	Active	33.847500	-112.666670
24480	Phoenix	Feasibility	Inactive	33.883890	-111.951670
24481	Pump	Target Outline	Inactive	33.738330	-113.135280
24483	Adams	Exploration	Inactive	35.252270	-114.521360
24484	Gold Dome	Target Outline	Inactive	35.211670	-114.415830
24485	Midnight	Target Outline	Inactive	35.039720	-114.422780
24486	Roadside	Exploration	Inactive	35.219170	-114.483060
24487	Secret Pass	Target Outline	Active	35.150560	-114.369720
24488	Tyro	Target Outline	Inactive	35.226940	-114.450830
24489	Oatman	Target Outline	Inactive	35.037780	-114.393060
24490	Burro Creek	Reserves Development	Active	34.559440	-113.493890
24491	Cod	Target Outline	Inactive	35.344170	-114.104440
24493	American Flag	Exploration	Inactive	35.076940	-113.880830
24498	Jupiter	Exploration	Inactive	34.535560	-114.169440
24501	Pilgrim	Reserves Development	Inactive	35.388330	-114.358890
24502	Portland	Closed	Inactive	35.380830	-114.501110
24511	Tiger Tailings	NA	Inactive	32.705830	-110.684170
24515	Goldfield	Feasibility	Inactive	33.462580	-111.510710
24517	Oro Blanco	Reserves Development	Inactive	31.420000	-111.252500
24520	Beehive	Target Outline	Inactive	34.158510	-112.681710
24521	Bullard	Feasibility	Inactive	34.065850	-113.273860
24522	Congress	Target Outline	Inactive	34.200880	-112.850470
24523	George Washington	Closed	Inactive	34.084170	-112.605000
24524	Glory Anna	Exploration	Inactive	34.153890	-112.157220
24525	Oro Grande	Target Outline	Inactive	34.027500	-112.723330
24526	Postmaster	Exploration	Inactive	34.455000	-112.342500
24527	Montezuma Huron	Target Outline	Inactive	34.460050	-112.262280
