,stop_type,year,postcode,long,lat,neighbourhood,locality,total,nutrient_ratio,perishable_ratio
0,Delivery,2010,L5G 4L8,-79.561661,43.5713346,Lakeview,Mississauga,8375,0.37958217117438886,0.20768062080153854
1,Delivery,2010,M1E 1W7,-79.1940008,43.7584566,West Hill,Toronto,32705,0.7895973801262571,0.0860598232624887
2,Delivery,2010,M1E 1X2,-79.1962927,43.7641476,West Hill,Toronto,5957,0.45552910035768396,0.08182563164571374
3,Delivery,2010,M1E 1Z9,-79.18994570000001,43.7647255,West Hill,Toronto,27764,0.36398875067836356,0.12312852096176713
4,Delivery,2010,M1E 2R9,-79.19585190000001,43.766545799999996,West Hill,Toronto,22975,0.5003698734131816,0.11304030117291636
5,Delivery,2010,M1E 2S2,-79.1931192,43.7665071,West Hill,Toronto,1440,0.0,0.0
6,Delivery,2010,M1G 1R2,-79.2111007,43.7626001,Woburn,Toronto,6532,0.40259643105159054,0.10544851992373976
7,Delivery,2010,M1H 3H7,-79.22379140000001,43.7561157,Woburn,Toronto,7515,0.4626384480575491,0.059861620564733466
8,Delivery,2010,M1K 1M2,-79.25762490000001,43.717889299999996,Kennedy Park,Toronto,8752,0.4197539105925661,0.10219713792281386
9,Delivery,2010,M1K 2B5,-79.2666098,43.727474900000004,Scarborough Junction,Toronto,11303,0.5066450074777299,0.07368712849308913
10,Delivery,2010,M1K 2N8,-79.2681072,43.73183529999999,Ionview,Toronto,8660,0.2648026909474958,0.06605212559422095
11,Delivery,2010,M1K 3G2,-79.26220550000001,43.7266137,Scarborough Junction,Toronto,5134,0.57172299791853,0.06178486984052869
12,Delivery,2010,M1K 4C9,-79.2567439,43.7283166,Kennedy Park,Toronto,1445,0.19721548292976862,0.09268707482993198
13,Delivery,2010,M1M 1P2,-79.2315459,43.7266657,Cliffcrest,Toronto,4261,0.1340894792996983,0.05354998667842897
14,Delivery,2010,M1M 3L7,-79.2327796,43.727227,Cliffcrest,Toronto,11580,0.5425670188182048,0.15039847947224608
15,Delivery,2010,M1M 3W1,-79.2318654,43.725373100000006,Cliffcrest,Toronto,11985,0.5664489589965669,0.08192393436618306
16,Delivery,2010,M1N 1Z9,-79.2719828,43.687777000000004,Birch Cliff,Toronto,28310,0.42326607535577004,0.15984213879542122
17,Delivery,2010,M1P 2T9,-79.25092959999999,43.7551421,Bendale,Toronto,12616,0.47116498506261195,0.12885738213370515
18,Delivery,2010,M1S 1T4,-79.27929300000001,43.784302600000004,Agincourt,Toronto,21757,0.36228588057187844,0.1269970587804154
19,Delivery,2010,M1T 2Z7,-79.304126,43.797736799999996,L'Amoreaux,Toronto,29837,0.37771226298290084,0.17284816585965995
20,Delivery,2010,M2J 3C1,-79.3488439,43.7785846,Don Valley Village,Toronto,9610,0.3936176546964858,0.12668180546633268
21,Delivery,2010,M2M 4G8,-79.4167597,43.781098799999995,Newtonbrook,Toronto,3300,0.32181223554319904,0.058798428878520416
22,Delivery,2010,M2R 3J3,-79.44691879999999,43.781025299999996,Newtonbrook,Toronto,8810,0.4802145689065608,0.06909882372171919
23,Delivery,2010,M3A 1A3,-79.32472709999999,43.73799520000001,Victoria Village,Toronto,97760,0.4501846891187127,0.10640360007778388
24,Delivery,2010,M3C 2C3,-79.34849179999999,43.7320888,Don Mills,Toronto,33380,0.45261715202907676,0.1592925585456954
25,Delivery,2010,M3C 3S4,-79.33617009999999,43.7149396,Flemingdon Park,Toronto,20980,0.44591968208891547,0.12967871192086503
26,Delivery,2010,M3L 2L7,-79.4997392,43.7444183,Jane and Finch,Toronto,1835,0.2992753623188406,0.10579268292682927
27,Delivery,2010,M3N 1H6,-79.5180127,43.748181200000005,Jane and Finch,Toronto,3265,0.3147304583520886,0.10104166666666665
28,Delivery,2010,M3N 1H7,-79.5239859,43.7475487,Jane and Finch,Toronto,19760,0.4080085402348143,0.23728878459226468
29,Delivery,2010,M3N 1J4,-79.5129176,43.7487465,Jane and Finch,Toronto,7305,0.34140780525809306,0.13779395943123993
30,Delivery,2010,M3N 2K3,-79.5185398,43.765251899999996,Black Creek,Toronto,1700,0.3578777936940683,0.07196217057129216
31,Delivery,2010,M3N 2Y2,-79.5171342,43.7580179,Jane and Finch,Toronto,17685,0.48334824204149934,0.16779230103821713
32,Delivery,2010,M4C 1K3,-79.3097609,43.6866786,Woodbine - Lumsden,Toronto,4270,0.291376411661515,0.09987320650364127
33,Delivery,2010,M4C 4C4,-79.3139869,43.6876696,Woodbine Heights,Toronto,6320,0.6118878484840665,0.0617907764278732
34,Delivery,2010,M4C 4E1,-79.31504340000001,43.6916213,Woodbine Heights,Toronto,11550,0.5644363850240341,0.16187261743482206
35,Delivery,2010,M4J 1L2,-79.34180309999999,43.6793224,Riverdale,Toronto,38875,0.4747585031179976,0.111844547767422
36,Delivery,2010,M4J 1L4,-79.3425512,43.679281599999996,The Danforth,Toronto,5800,0.4792584721409772,0.13738168610645138
37,Delivery,2010,M4J 1M5,-79.3337056,43.6809321,Riverdale,Toronto,210,0.2857142857142857,0.0
38,Delivery,2010,M4K 2B1,-79.3495479,43.686570399999994,Broadview North,Toronto,25515,0.48360634254638146,0.09470366516513254
39,Delivery,2010,M4K 3W5,-79.3495479,43.690719200000004,Old East York,Toronto,6554,0.5036871860460129,0.09204870452413906
40,Delivery,2010,M4L 1Z1,-79.3255193,43.671640000000004,Leslieville,Toronto,8360,0.47788237564901087,0.07122390378348065
41,Delivery,2010,M4M 1J9,-79.3396028,43.660958,Leslieville,Toronto,5757,0.4568117121282844,0.06531284278431272
42,Delivery,2010,M4M 1X1,-79.3463797,43.6661164,Riverdale,Toronto,9219,0.3531747102845445,0.21023023978675634
43,Delivery,2010,M4M 2E9,-79.34989990000001,43.659924200000006,Riverside,Toronto,22965,0.5768857568312604,0.10035664545972972
44,Delivery,2010,M4M 2R9,-79.3396908,43.659557899999996,Leslieville,Toronto,1885,0.24141591902461468,0.017391304347826087
45,Delivery,2010,M4T 1C1,-79.3910772,43.6845359,Midtown Toronto,Toronto,5160,0.3843540818010912,0.040146821907362476
46,Delivery,2010,M4V 1T3,-79.3967069,43.6901009,Midtown Toronto,Toronto,4820,0.39053175691393766,0.13486019376635985
47,Delivery,2010,M4W 2H2,-79.3877344,43.6737001,Midtown Toronto,Toronto,4340,0.441477092408683,0.09391926869893842
48,Delivery,2010,M4X 1C1,-79.369523,43.6664354,Downtown,Toronto,3195,0.5308606817819242,0.05661486467702912
49,Delivery,2010,M4X 1G6,-79.37172259999998,43.6690876,Downtown,Toronto,5320,0.3477765777656473,0.06233524523926149
50,Delivery,2010,M4X 1N4,-79.37225059999999,43.6698783,Downtown,Toronto,3335,0.4569988899131673,0.09065196406968559
51,Delivery,2010,M4Y 1J7,-79.3857111,43.66602460000001,Downtown,Toronto,3902,0.37502506577777345,0.021645021645021644
52,Delivery,2010,M4Y 1R9,-79.38465550000001,43.6685942,Downtown,Toronto,4966,0.28257914639513,0.16029062499869143
53,Delivery,2010,M4Y 2C9,-79.38078459999998,43.6661564,Downtown,Toronto,1905,0.4057111069484013,0.22931636674520928
54,Delivery,2010,M4Y 2K4,-79.3770895,43.6671445,Downtown,Toronto,2226,0.48216626761650455,0.1157106103551601
55,Delivery,2010,M5A 1S1,-79.3721626,43.6537839,Downtown,Toronto,12356,0.5364801147233395,0.08760322073029715
56,Delivery,2010,M5A 1T3,-79.3628358,43.6561715,Downtown,Toronto,62031,0.5183788284717606,0.07360830097610362
57,Delivery,2010,M5A 1V2,-79.35773209999999,43.657323600000005,Downtown,Toronto,19183,0.3067400675219469,0.10273352737714182
58,Delivery,2010,M5A 1X6,-79.36116390000001,43.6583128,Downtown,Toronto,0,0.0,0.0
59,Delivery,2010,M5A 2A2,-79.3702269,43.658198999999996,Downtown,Toronto,27500,0.47466371516271794,0.09794693534530526
60,Delivery,2010,M5A 2A8,-79.3668834,43.659516499999995,Downtown,Toronto,13385,0.4298384760727312,0.0864510659261084
61,Delivery,2010,M5A 2B1,-79.3665314,43.659187,Downtown,Toronto,34505,0.5162161721758186,0.0748189744682269
62,Delivery,2010,M5A 2B7,-79.36151590000001,43.660125,Downtown,Toronto,18060,0.4708444797069916,0.1227540778098522
63,Delivery,2010,M5A 2C6,-79.36538759999999,43.6613778,Downtown,Toronto,16802,0.43608717847740386,0.08858110374472619
64,Delivery,2010,M5A 2E5,-79.37277850000001,43.6608846,Downtown,Toronto,4570,0.5451859683899667,0.06347393407022738
65,Delivery,2010,M5A 2E6,-79.3713707,43.6616422,Downtown,Toronto,15740,0.3724165742272808,0.07016061303643967
66,Delivery,2010,M5A 2G2,-79.36917109999999,43.6621032,Downtown,Toronto,7467,0.49749416210763125,0.1026425807622485
67,Delivery,2010,M5A 2G7,-79.3657395,43.6625968,Downtown,Toronto,21400,0.449624355071557,0.18477394946620024
68,Delivery,2010,M5A 2J3,-79.36217579999999,43.664226899999996,Downtown,Toronto,4580,0.34943343294015367,0.08189831546849412
69,Delivery,2010,M5A 2L1,-79.36961099999999,43.6641458,Downtown,Toronto,3495,0.5738931912051785,0.13391758882405155
70,Delivery,2010,M5A 2R6,-79.37084279999999,43.654920600000004,Downtown,Toronto,6635,0.45658382067966247,0.05467243701948224
71,Delivery,2010,M5A 2V2,-79.3665314,43.654442200000005,Downtown,Toronto,14013,0.5933707037498004,0.08028422924690985
72,Delivery,2010,M5A 2Z4,-79.36459559999999,43.6564848,Downtown,Toronto,2105,0.322178086984739,0.12537362461275506
73,Delivery,2010,M5A 3A4,-79.36609150000001,43.658775,Downtown,Toronto,720,0.0,0.0
74,Delivery,2010,M5A 3J7,-79.358788,43.6560883,Downtown,Toronto,30716,0.457230876237869,0.10068212605445036
75,Delivery,2010,M5A 3N1,-79.3563241,43.6554122,Downtown,Toronto,7974,0.472949330994493,0.19643738992150428
76,Delivery,2010,M5A 3P1,-79.35694009999999,43.659102600000004,Downtown,Toronto,34280,0.5402202994263983,0.06912793708773704
77,Delivery,2010,M5A 3V3,-79.3640677,43.659697200000004,Downtown,Toronto,4812,0.4067522986234689,0.11088873522807334
78,Delivery,2010,M5B 1S1,-79.38157640000001,43.6587434,Downtown,Toronto,4512,0.5863586746982118,0.024253624821576145
79,Delivery,2010,M5B 2B7,-79.3746261,43.6562389,Downtown,Toronto,51990,0.5426793532376941,0.06368224577145991
80,Delivery,2010,M5B 2K6,-79.3740982,43.6554481,Downtown,Toronto,35130,0.4285499993358944,0.10016495017310374
81,Delivery,2010,M5C 1K6,-79.37550590000001,43.6508348,Downtown,Toronto,22882,0.4241373843053489,0.0896348975763732
82,Delivery,2010,M5C 2Z3,-79.3766496,43.653537,Downtown,Toronto,17506,0.24406286460351392,0.05453514856629769
83,Delivery,2010,M5J 1W9,-79.3857111,43.647044799999996,Downtown,Toronto,2710,0.6009384784335497,0.04784556528742574
84,Delivery,2010,M5R 2S7,-79.4047989,43.668328499999994,Midtown Toronto,Toronto,8482,0.5426636777337494,0.058157208246443985
85,Delivery,2010,M5R 3G7,-79.41394559999999,43.6712581,Midtown Toronto,Toronto,5275,0.49835631081149334,0.11800252137646881
